#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-16T00:32:59 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-16T00:32:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/580/A67/meteors&-source=J/A+A/580/A67/meteors&-out=SpFile&-out=Meteor&-out=Time&-out=RAg&-out=DEg&-out=Zenith&-out=Hb&-out=He&-out=Mmax&-out=Mass&-out=Class&-out=1/a&-out=e&-out=i&-out=q&-out=omega&-out=Omega&-out=Tj&-out=vg&-out=e_vg&-out=Mg1-2&-out=Na1-1&-out=Fe1-15&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35800067
#Name: J/A+A/580/A67
#Title: Catalogue of representative meteor spectra (Vojacek+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/580/a67	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/580/a67	    IVOID of underlying data collection
#INFO	creator=Vojacek V.	    First author or institution
#INFO	cites=bibcode:2015A&A...580A..67V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/580/A67	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35800067	    Dataset identifier that can be used for citation
#INFO	publication_date=2015-12-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_580_A67_meteors:
#Name: J/A+A/580/A67/meteors
#Title: Observed meteors: atmopspheric trajectories (table4), orbital parameters (table5), and intensities of lines of Mg1-2, Na1-1 and Fe1-15
#Column	SpFile	(A7)	Name of spectrum file (G1)	[ucd=meta.id;meta.file]
#Column	Meteor	(A8)	Number of meteor (1)	[ucd=meta.id;meta.main]
#Column	Time	(A8)	Observing time in UT	[ucd=time.epoch]
#Column	RAg	(F6.2)	Radiant geocentric right ascension	[ucd=pos.eq.ra;pos.geocentric]
#Column	DEg	(F6.2)	Radiant geocentric declination	[ucd=pos.eq.dec;pos.geocentric]
#Column	Zenith	(F5.2)	[11/82] Radiant zenithal distance	[ucd=pos.az.zd]
#Column	Hb	(F5.1)	[78/137] Meteor beginning height	[ucd=pos.cartesian.z]
#Column	He	(F4.1)	[55/100] Meteor terminal height	[ucd=pos.cartesian.z]
#Column	Mmax	(F4.1)	[-3.1/2.1] Maximum magnitude of meteor	[ucd=phot.mag;em.opt]
#Column	Mass	(E8.1)	Photo Mass	[ucd=phys.mass]
#Column	Class	(a19)	Classified spectral type of given meteor (among Normal, Iron, Fe-poor, Na-free, Na-poor, Na-rich, Na-enhanced)	[ucd=src.spType]
#Column	1/a	(F6.3)	[-0.02/0.8] Reciprocal semi-major axis	[ucd=phys.size.smajAxis]
#Column	e	(F6.3)	[0.38/1.01] Eccentricity	[ucd=src.orbital.eccentricity]
#Column	i	(F6.2)	[0/180] Inclination	[ucd=src.orbital.inclination]
#Column	q	(F6.3)	[0.04/1.02] Perihelion distance	[ucd=pos.distance;src.orbital.periastron]
#Column	omega	(F6.2)	[0/360] Argument of periapsis {omega}	[ucd=src.orbital.periastron]
#Column	Omega	(F6.2)	[0/360] Longitude of the ascending node {Omega}	[ucd=src.orbital.node]
#Column	Tj	(F5.2)	[-1/4.51] Tisserand parameter	[ucd=src.orbital]
#Column	vg	(F5.2)	[6/72] Geocentric velocity	[ucd=phys.veloc;pos.geocentric]
#Column	e_vg	(F5.2)	[0.03/1] Geocentric velocity error	[ucd=stat.error]
#Column	Mg1-2	(E9.2)	Summed intensity of line Mg1-2	[ucd=spect.line.intensity]
#Column	Na1-1	(E9.2)	Summed intensity of line Na1-1	[ucd=spect.line.intensity]
#Column	Fe1-15	(E9.2)	Summed intensity of line Fe1-15	[ucd=spect.line.intensity]
SpFile|Meteor|Time|RAg|DEg|Zenith|Hb|He|Mmax|Mass|Class|1/a|e|i|q|omega|Omega|Tj|vg|e_vg|Mg1-2|Na1-1|Fe1-15
SX350  |06C13334|01:05:55|209.80| 55.04|54.20| 99.9|82.1| 0.3| 2.3e-02|Na-free            | 0.289| 0.720| 78.40| 0.984|179.50|261.79| 1.70|44.50| 0.30| 4.04e+00| 4.31e-01| 6.40e-01
SX393  |06C14187|22:45:46|359.20| 40.50|39.50| 78.2|69.3| 2.1| 2.0e-01|Iron               | 0.631| 0.384|  6.40| 0.976|194.10|262.71| 4.30| 6.50| 0.20| 3.10e-02| 2.00e-03| 3.86e-01
SX398  |06C14215|23:09:09|113.40| 31.45|27.64|102.1|81.0|-0.3| 3.8e-02|Na-poor            | 0.688| 0.905| 22.10| 0.139|324.00|262.73| 4.00|35.00| 0.30| 2.08e+00| 3.95e-01| 1.07e+00
SX430  |06C14357|01:25:38|148.59| 28.28|31.55|123.6|91.2| 0.5| 5.2e-03|Na-poor            | 0.017| 0.993|144.70| 0.425|278.10|278.10|-0.60|63.80| 0.20| 1.87e+00| 4.89e-01| 6.58e-01
SX457  |06C14515|03:19:46|129.80|  2.62|48.07|114.4|93.3|-1.0| 3.0e-02|Normal             | 0.042| 0.991|129.70| 0.222|123.80| 81.89|-0.10|58.70| 0.20| 1.12e+00| 6.89e-01| 6.23e-01
SX478  |06C14645|04:52:24|171.70|  7.99|41.08|109.6|91.6|-0.6| 5.0e-03|Na-poor            | 0.049| 0.950|173.00| 0.977|190.20|261.96|-1.00|72.00| 0.30| 1.55e+00| 4.68e-01| 4.55e-01
SX500  |07407021|20:31:25|194.70| 43.65|23.74| 89.3|72.0| 0.1| 4.5e-01|Na-enhanced        | 0.484| 0.553| 16.40| 0.924|218.42| 17.55| 3.52|14.30| 0.10| 3.50e-01| 1.75e+00| 4.30e-01
SX502  |07407034|21:40:46|261.00| 85.40|36.62| 86.3|67.8| 0.4| 2.9e-01|Normal             | 0.360| 0.641| 23.80| 0.998|172.70| 17.59| 2.90|16.30| 0.10| 3.92e+00| 6.77e+00| 3.11e+00
SX571  |07812429|01:40:39|285.70| 46.80|44.70|100.7|79.7|-1.5| 5.8e-01|Normal             | 0.256| 0.753| 32.90| 0.964|207.60|139.86| 2.30|22.30| 0.10| 5.22e+00| 8.39e+00| 3.86e+00
SX689  |08505008|01:01:14|308.00| 66.30|31.10| 86.3|79.0| 1.7| 2.0e-02|Iron               | 0.542| 0.480| 41.30| 0.966|150.00| 45.77| 3.60|24.10| 0.20| 1.13e-01| 1.00e-02| 8.78e-01
SX692  |08505025|01:31:55|203.00| 54.00|30.00| 78.6|75.6| 0.6| 1.1e-01|Iron               | 0.477| 0.520| 16.00| 0.999|194.00| 45.80| 3.50|11.80| 0.80| 4.00e-02| 6.00e-03| 3.89e-01
SX696  |08506016|01:08:38|279.00|  7.30|45.60|103.7|86.5|-0.7| 1.8e-02|Na-free            | 0.066| 0.970|108.40| 0.524|269.00| 46.75| 0.10|56.20| 0.40| 7.31e+00| 4.54e-01| 7.46e-01
SX700  |08507002|00:43:02|246.71|-22.80|70.70| 97.9|82.8| 0.4| 5.0e-02|Na-free            | 0.374| 0.941|  2.40| 0.159|137.70|227.68| 2.43|36.90| 0.10| 5.40e+00| 6.42e-01| 2.27e+00
SX708  |08728076|22:21:19|304.82| -9.40|56.30| 98.6|80.8|-0.3| 3.6e-01|Normal             | 0.385| 0.772|  7.48| 0.592|267.50|126.08| 2.89|22.58| 0.09| 6.97e+00| 6.43e+00| 4.27e+00
SX709  |08728078|22:22:45|279.20| 51.10|11.60| 99.3|83.2| 1.2| 4.0e-02|Normal             | 0.026| 0.970| 40.00| 0.982|201.20|126.07| 1.10|27.30| 0.30| 3.21e-01| 2.43e-01| 2.57e-01
SX713  |08728098|22:49:51|230.00| 45.80|42.70| 93.6|78.3| 0.8| 3.2e-01|Normal             | 0.355| 0.640| 18.30| 1.014|175.50|126.09| 2.92|13.65| 0.05| 3.29e-01| 9.54e-01| 3.68e-01
SX718  |08728149|23:32:27|278.40| 50.40|22.70| 99.1|82.4| 0.9| 5.8e-02|Normal             | 0.038| 0.960| 39.00| 0.981|201.30|126.12| 1.10|26.76| 0.08| 4.35e-01| 5.64e-01| 4.04e-01
SX719  |08728151|23:33:42|304.54| -9.05|56.50|101.2|82.2|-0.1| 2.3e-01|Normal             | 0.388| 0.768|  7.65| 0.598|266.90|126.12| 2.91|22.40| 0.10| 7.15e-01| 7.68e-01| 6.77e-01
SX726  |08728233|00:43:49|304.46| -8.67|60.30|102.3|80.4|-1.0| 7.4e-01|Normal             | 0.391| 0.766|  7.91| 0.600|266.78|126.17| 2.93|22.33| 0.08| 3.21e+00| 3.83e+00| 3.16e+00
SX731  |08728280|01:20:07|340.10|-15.10|63.50| 97.7|84.5| 0.3| 2.7e-02|Na-free            | 0.439| 0.973| 25.70| 0.061|154.90|306.19| 2.56|40.80| 0.20| 1.37e+00| 1.38e-01| 4.67e-01
SX738  |08729037|22:03:15|339.53|-16.46|75.64|103.1|85.4| 0.0| 4.2e-02|Na-free            | 0.363| 0.971| 26.30| 0.080|150.50|307.01| 2.20|40.80| 0.10| 3.15e+00| 2.89e-01| 1.49e+00
SX784  |08927015|23:59:01| 82.78| 13.05|61.94|123.1|96.8| 0.5| 6.3e-03|Normal             | 0.018| 0.980|161.78| 0.891| 39.10|  4.14|-1.00|69.70| 0.10| 1.92e+00| 7.61e-01| 6.38e-01
SX785  |08927018|00:01:28|348.45|-20.90|68.74| 99.4|83.4| 0.1| 7.2e-01|Na-enhanced        | 0.276| 0.766|  6.26| 0.848| 49.80|  6.10| 2.50|15.70| 0.20| 7.36e-01| 1.49e+00| 5.21e-01
SX788  |08927101|02:01:02|309.50| 37.20|62.31| 96.3|76.6|-0.7| 1.1e+00|Normal             | 0.290| 0.730| 20.00| 0.949|209.10|185.20| 2.60|16.30| 0.20| 2.08e+00| 4.25e+00| 1.78e+00
SX793  |08927195|03:43:50|134.96| 52.56|35.76|118.4|86.0|-2.5| 9.2e-02|Normal             | 0.005| 0.997|113.99| 0.749|119.60|185.27|-0.40|59.59| 0.09| 1.06e+01| 6.15e+00| 5.15e+00
SX798  |08928139|00:05:25|  2.08| 10.36|40.45|101.3|74.6|-0.6| 7.0e-01|Normal             | 0.417| 0.760|  6.43| 0.577|269.04|186.10| 3.04|22.22| 0.08| 2.96e+00| 5.09e+00| 2.12e+00
SX804  |08928235|01:55:56|203.20| 85.75|43.55|114.2|86.9|-1.8| 1.6e-01|Normal             | 0.137| 0.863| 69.28| 1.001|178.00|186.18| 1.10|40.99| 0.08| 6.35e+00| 3.37e+00| 3.44e+00
SX820  |08A20002|20:05:23| 23.78|  5.59|51.77| 90.0|55.8|-0.7| 1.1e+00|Na-enhanced        | 0.390| 0.758|  2.71| 0.621| 82.63| 27.69| 2.94|21.04| 0.04| 3.54e+01| 9.76e+01| 2.22e+01
SX961  |09102507|05:28:21|229.74| 52.20|19.27|103.8|79.0|-1.6| 1.2e-01|Normal             | 0.315| 0.690| 69.30| 0.983|176.60|282.85| 2.00|40.10| 0.20| 1.02e+01| 6.42e+00| 4.93e+00
SX962  |09102515|05:31:10|231.17| 49.69|20.09|103.1|81.0|-0.1| 2.2e-02|Na-poor            | 0.318| 0.690| 71.00| 0.978|170.50|282.85| 2.00|40.90| 0.30| 2.05e+00| 6.39e-01| 1.49e+00
SX983  |09421005|20:07:24|204.40|  3.28|53.25|102.9|78.2|-0.1| 6.4e-01|Na-enhanced        | 0.375| 0.726|  7.18| 0.731|249.40| 31.72| 2.93|19.24| 0.03| 7.51e+00| 1.72e+01| 3.24e+00
SX988  |09421084|00:14:38|219.50| -5.71|53.24|105.7|86.6|-1.4| 3.6e-01|Normal             | 0.308| 0.868| 10.10| 0.430|283.40| 31.89| 2.37|29.10| 0.20| 2.92e+00| 1.37e+00| 1.89e+00
SX990  |09421101|00:54:11|203.81|  5.04|49.08|103.3|81.3| 1.4| 1.4e-01|Normal             | 0.357| 0.733|  7.81| 0.748|246.78| 31.92| 2.85|19.10| 0.10| 1.26e+00| 1.37e+00| 1.40e+00
SX1022 |09729261|01:16:49|297.60|  3.45|55.11|103.2|75.7|-1.1| 1.3e+00|Normal             | 0.341| 0.760| 15.30| 0.705|253.02|126.91| 2.71|21.18| 0.07| 5.28e+00| 8.38e+00| 3.99e+00
SX1036 |09818045|21:18:57|289.34| 21.35|27.19| 94.5|80.4| 0.8| 1.7e-01|Normal             | 0.309| 0.714| 17.10| 0.925|217.59|145.92| 2.66|15.93| 0.07| 6.03e-01| 9.26e-01| 5.40e-01
SX1041 |09818120|23:23:17|352.08|  3.92|47.41|104.5|82.7|-1.7| 1.4e-01|Na-poor            | 0.509| 0.955| 21.70| 0.088|330.30|146.01| 2.99|38.40| 0.20| 4.36e+00| 1.67e+00| 4.70e+00
SX1044 |09818147|23:58:43| 36.22| 41.92|37.39|115.3|93.2| 0.1| 6.1e-03|Na-free            | 0.281| 0.730|133.80| 0.960|208.60|146.03| 0.70|62.50| 0.40| 2.88e-01| 2.10e-02| 6.00e-02
SX1061 |09819134|23:19:41| 66.00| 62.30|48.10|114.1|88.6|-2.1| 7.2e-02|Normal             | 0.160| 0.860|107.00| 0.890|137.00|146.96| 0.00|56.10| 0.10| 3.31e+00| 1.76e+00| 1.81e+00
SX1064 |09819164|23:56:02| 64.00| 66.65|41.70|128.0|85.0|-2.8| 2.0e-01|Fe-poor            | 0.068| 0.940|101.20| 0.918|143.80|146.99| 0.10|54.90| 0.20| 5.83e+00| 4.48e+00| 2.07e+00
SX1065 |09819165|23:56:50| 27.20| 32.90|36.69|119.8|91.1|-0.7| 1.3e-02|Normal             | 0.035| 0.970|141.20| 0.751|241.00|146.99|-0.60|65.00| 0.50| 3.67e-01| 2.21e-01| 2.13e-01
SX1096 |09820151|23:27:02| 21.90| 28.40|40.30|116.0|92.2| 0.2| 5.2e-03|Na-poor            | 0.370| 0.823|139.00| 0.479|279.60|147.93| 1.30|59.10| 0.20| 2.85e-01| 7.10e-02| 1.40e-01
SX1101 |09820190|00:17:12| 53.08|-10.98|81.72|119.3|99.8|-0.5| 4.9e-02|(Atmospheric lines)| 0.049| 0.954|129.17| 0.946| 29.90|327.97|-0.50|63.71| 0.07| 1.19e+00| 1.50e+00| 7.56e-01
SX1104 |09820250|01:15:09| 51.60| 40.20|34.40| 98.3|89.3|-0.6| 4.8e-03|Na-free            | 0.372| 0.600|143.00| 1.010|175.00|148.00| 1.00|64.00| 1.00| 4.55e-01| 1.80e-02| 1.14e-01
SX1106 |09820289|01:45:07| 57.60| 33.10|37.89|117.6|90.4|-0.9| 1.4e-02|Normal             | 0.153| 0.850|157.90| 0.995|164.50|148.02|-0.30|68.30| 0.20| 7.81e-01| 3.31e-01| 5.07e-01
SX1114 |09B17008|18:39:27| 58.70| 10.90|28.60| 85.1|79.2| 0.8| 4.0e-02|Iron               | 0.575| 0.681|  6.70| 0.554| 94.90| 55.43| 3.83|20.90| 0.20| 1.39e-01| 9.50e-02| 1.20e+00
SX1117 |09B17022|19:12:24| 66.38| 16.81|23.64| 97.0|76.0|-2.5| 8.6e-01|Na-poor            | 0.386| 0.868|  5.95| 0.343|113.90| 55.45| 2.70|29.90| 0.20| 3.41e+00| 7.07e-01| 2.35e+00
SX1122 |09B17055|20:39:45| 63.36| 14.71|23.98|107.1|71.7|-1.4| 8.6e-01|Normal             | 0.506| 0.780|  6.11| 0.434|106.21| 55.51| 3.40|25.50| 0.20| 8.07e+00| 1.05e+01| 8.46e+00
SX1128 |09B17084|21:23:40| 62.03| 25.96|22.01|100.9|78.5|-0.5| 1.9e-01|Normal             | 0.421| 0.832|  5.28| 0.398|288.37|235.52| 2.94|27.70| 0.20| 6.75e-01| 5.08e-01| 5.86e-01
SX1133 |09B17115|21:52:14|154.74| 21.06|55.28|117.7|93.0| 1.3| 2.5e-03|Normal             | 0.020| 0.980|163.00| 0.980|169.60|235.56|-1.00|71.50| 0.30| 1.47e+00| 1.02e+00| 1.30e+00
SX1135 |09B17123|21:59:48|154.50| 22.90|52.70|121.8|94.5| 1.8| 1.3e-03|Normal             | 0.053| 0.950|160.30| 0.985|172.60|235.56|-0.90|70.90| 0.30| 4.35e-01| 2.10e-01| 4.43e-01
SX1150 |09B17192|23:03:06|153.90| 22.23|40.00|123.6|92.1| 0.9| 2.2e-03|Normal             | 0.146| 0.860|161.50| 0.985|173.30|235.61|-0.40|70.00| 0.30| 1.46e+00| 9.12e-01| 1.93e+00
SX1191 |10406022|21:07:08|212.99| -2.98|64.67|105.6|84.8| 0.0| 9.6e-02|Na-poor            | 0.381| 0.889| 14.53| 0.291|300.40| 16.81| 2.61|32.87| 0.03| 1.69e+00| 6.04e-01| 6.24e-01
SX1194 |10406060|23:12:11|207.50| -8.80|57.00| 92.1|80.4| 0.5| 4.4e-02|Iron               | 0.395| 0.867|  3.10| 0.335|295.60| 16.91| 2.75|30.60| 0.20| 3.55e-01| 5.00e-02| 3.33e+00
SX1206 |10407030|21:46:02|196.02|  4.52|45.18|107.4|79.5| 0.3| 3.7e-01|Normal             | 0.373| 0.758|  7.12| 0.650|259.30| 17.83| 2.87|21.69| 0.07| 3.51e+00| 4.68e+00| 2.82e+00
SX1217 |10408088|02:45:40|225.30| -9.90|62.50|100.2|85.6|-0.1| 3.8e-02|Na-free            | 0.482| 0.952| 21.00| 0.099|327.90| 19.01| 2.90|39.20| 0.30| 9.40e-01| 2.90e-02| 3.46e-01
SX1582 |11422209|02:18:47|272.70| 32.90|19.17|115.3|86.4|-3.1| 2.7e-01|Normal             | 0.087| 0.920| 80.70| 0.922|209.60| 32.45| 0.40|46.90| 0.20| 6.75e+00| 5.07e+00| 3.30e+00
